iter	Passed	Remaining
430	19428	3110
431	19469	3064
432	19513	3019
433	19555	2973
434	19601	2929
435	19643	2883
436	19686	2838
437	19728	2792
438	19773	2747
439	19816	2702
440	19856	2656
441	19895	2610
442	19938	2565
443	19977	2519
444	20018	2474
445	20062	2429
446	20104	2383
447	20145	2338
448	20187	2292
449	20230	2247
450	20271	2202
451	20312	2157
452	20352	2111
453	20395	2066
454	20437	2021
455	20480	1976
456	20520	1930
457	20563	1885
458	20603	1840
459	20642	1795
460	20681	1749
461	20721	1704
462	20767	1659
463	20807	1614
464	20846	1569
465	20887	1523
466	20928	1478
467	20968	1433
468	21013	1388
469	21057	1344
470	21098	1299
471	21139	1254
472	21179	1208
473	21218	1163
474	21258	1118
475	21297	1073
476	21342	1029
477	21383	984
478	21424	939
479	21466	894
480	21507	849
481	21551	804
482	21589	759
483	21629	715
484	21671	670
485	21711	625
486	21754	580
487	21796	535
488	21838	491
489	21878	446
490	21917	401
491	21957	357
492	21999	312
493	22041	267
494	22084	223
495	22128	178
496	22173	133
497	22216	89
498	22261	44
499	22304	0
