iter	Logloss
0	0.5357844348
1	0.4575660618
2	0.382429699
3	0.3350474051
4	0.299771359
5	0.2787684886
6	0.2615569602
7	0.2470368988
8	0.2313850477
9	0.2235073648
10	0.2115152602
11	0.2038396226
12	0.1984986283
13	0.1918171624
14	0.1875492843
15	0.1834757697
16	0.1791271297
17	0.1762597404
18	0.1740091216
19	0.1699905888
20	0.1679618227
21	0.1664544522
22	0.1629399779
23	0.162132726
24	0.1593160056
25	0.1578234888
26	0.1562166384
27	0.1550786702
28	0.1541954978
29	0.151331817
30	0.1506553903
31	0.1487550224
32	0.1477473034
33	0.1466520709
34	0.1458151166
35	0.1452731191
36	0.1436828965
37	0.1418616255
38	0.1413305503
39	0.1407258655
40	0.1403961837
41	0.1396936628
42	0.1391542302
43	0.1382104524
44	0.1376721036
45	0.1370562272
46	0.1367556781
47	0.1364038912
48	0.1357381221
49	0.1354923737
50	0.1350902308
51	0.1346047128
52	0.1333433618
53	0.1330319567
54	0.1325553608
55	0.1318353054
56	0.1314766663
57	0.1308644086
58	0.1306318814
59	0.1302485011
60	0.1300680791
61	0.1297909588
62	0.1295745348
63	0.1293642837
64	0.1291208952
65	0.1285979213
66	0.1283683293
67	0.1279927666
68	0.12731367
69	0.1270698256
70	0.126889109
71	0.1267475508
72	0.1259015161
73	0.1258041485
74	0.1255257494
75	0.1253943674
76	0.1251424719
77	0.1249166366
78	0.1248012204
79	0.1246250204
80	0.1242472927
81	0.1236845085
82	0.1234470629
83	0.1232418869
84	0.1229465261
85	0.122804509
86	0.1225427189
87	0.1222494738
88	0.1219477839
89	0.1218051121
90	0.1214663793
91	0.1213426346
92	0.1211202498
93	0.1209530106
94	0.1208366853
95	0.1206569529
96	0.120369593
97	0.1202291085
98	0.1199824071
99	0.1196781467
100	0.1194071073
101	0.1192828506
102	0.1190933834
103	0.1189367063
104	0.11851647
105	0.1183329362
106	0.1182759858
107	0.1182302071
108	0.1181267317
109	0.1177788555
110	0.1176898669
111	0.1175749266
112	0.117417399
113	0.1173521417
114	0.1172616895
115	0.1171623045
116	0.1169885423
117	0.1168867992
118	0.1167202943
119	0.1165532901
120	0.1164125723
121	0.1160012773
122	0.1158173584
123	0.1156093771
124	0.1155303966
125	0.1154351213
126	0.1153129316
127	0.1150340115
128	0.114871068
129	0.1147963799
130	0.1147047763
131	0.1143800705
132	0.114262801
133	0.114069472
134	0.1138638965
135	0.1135614961
136	0.1132771953
137	0.113173806
138	0.1130235528
139	0.112899851
140	0.1125624964
141	0.112460131
142	0.1121662172
143	0.112086105
144	0.111848143
145	0.1117404662
146	0.1115608302
147	0.1113814238
148	0.111300927
149	0.1112137547
150	0.1110989803
151	0.1107279922
152	0.1106508685
153	0.110294617
154	0.110028974
155	0.1097964645
156	0.1097292265
157	0.1095925075
158	0.1095196496
159	0.109427206
160	0.1093376868
161	0.1092626202
162	0.1090863436
163	0.1089863716
164	0.1087427877
165	0.1086626829
166	0.1085558447
167	0.108299431
168	0.1081575309
169	0.1080834043
170	0.1079658077
171	0.1079008492
172	0.1077607347
173	0.1076418188
174	0.1073591073
175	0.1072702709
176	0.1071948708
177	0.107115932
178	0.1070423403
179	0.1069647359
180	0.1067489026
181	0.106528328
182	0.1063919121
183	0.1062961333
184	0.1062393837
185	0.1060846784
186	0.1059727835
187	0.1058412776
188	0.1056889215
189	0.1055669443
190	0.1054730006
191	0.105407428
192	0.1053491568
193	0.1050473807
194	0.1049290646
195	0.1048718549
196	0.1048042193
197	0.1046476444
198	0.104587666
199	0.1045113206
200	0.1044111309
